Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:21:41.639,test,pistol,0.355s,2,1,0.5,1000,4000,0.25,false
2,10:21:42.277,test,pistol,0s,1,1,1,1000,2000,0.5,false
3,10:21:43.382,test,pistol,0.742s,2,1,0.5,1000,4000,0.25,false
4,10:21:43.889,test,pistol,0s,1,1,1,1000,2000,0.5,false
5,10:21:44.632,test,pistol,0s,1,1,1,1000,2000,0.5,false
6,10:21:47.612,test,pistol,2.369s,5,1,0.2,1000,10000,0.1,false
7,10:21:48.216,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
8,10:21:48.730,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,10:21:50.104,test,pistol,0.667s,2,1,0.5,1000,4000,0.25,false
10,10:21:50.680,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,10:21:53.347,test,pistol,1.964s,5,1,0.2,1000,10000,0.1,false
12,10:21:54.257,test,pistol,0.388s,2,1,0.5,1000,4000,0.25,false
13,10:21:57.570,test,pistol,2.465s,4,1,0.25,1000,8000,0.125,false
14,10:21:59.959,test,pistol,1.174s,2,1,0.5,1000,4000,0.25,false
15,10:22:03.153,test,pistol,2.131s,4,1,0.25,1000,8000,0.125,false
16,10:22:03.897,test,pistol,0s,1,1,1,1000,2000,0.5,false
17,10:22:04.689,test,pistol,0s,1,1,1,1000,2000,0.5,false
18,10:22:05.612,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,10:22:06.264,test,pistol,0s,1,1,1,1000,2000,0.5,false
20,10:22:06.924,test,pistol,0s,1,1,1,1000,2000,0.5,false
21,10:22:08.654,test,pistol,0.918s,3,1,0.333,1000,6000,0.167,false
22,10:22:09.202,test,pistol,0s,1,1,1,1000,2000,0.5,false
23,10:22:15.146,test,pistol,5.409s,8,1,0.125,1000,16000,0.062,false
24,10:22:16.071,test,pistol,0.41s,2,1,0.5,1000,4000,0.25,false
25,10:22:17.474,test,pistol,0.737s,2,1,0.5,1000,4000,0.25,false
26,10:22:21.439,test,pistol,2.889s,5,1,0.2,1000,10000,0.1,false
27,10:22:22.675,test,pistol,0s,1,1,1,1000,2000,0.5,false
28,10:22:23.467,test,pistol,0s,1,1,1,1000,2000,0.5,false
29,10:22:23.953,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,10:22:24.577,test,pistol,0s,1,1,1,1000,2000,0.5,false
31,10:22:25.271,test,pistol,0s,1,1,1,1000,2000,0.5,false
32,10:22:27.613,test,pistol,1.126s,4,1,0.25,1000,8000,0.125,false
33,10:22:28.238,test,pistol,0s,1,1,1,1000,2000,0.5,false
34,10:22:29.244,test,pistol,0s,1,1,1,1000,2000,0.5,false
35,10:22:30.779,test,pistol,0.368s,2,1,0.5,1000,4000,0.25,false
36,10:22:31.814,test,pistol,0s,1,1,1,1000,2000,0.5,false
37,10:22:32.925,test,pistol,0.472s,2,1,0.5,1000,4000,0.25,false
38,10:22:35.050,test,pistol,1.403s,3,1,0.333,1000,6000,0.167,false
39,10:22:35.549,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,10:22:37.516,test,pistol,1.382s,4,1,0.25,1000,8000,0.125,false
41,10:22:38.085,test,pistol,0s,1,1,1,1000,2000,0.5,false
42,10:22:39.376,test,pistol,0s,1,1,1,1000,2000,0.5,false
43,10:22:40.380,test,pistol,0.3s,2,1,0.5,1000,4000,0.25,false
44,10:22:42.282,test,pistol,1.118s,2,1,0.5,1000,4000,0.25,false
45,10:22:44.074,test,pistol,1.055s,4,1,0.25,1000,8000,0.125,false
46,10:22:45.553,test,pistol,0.597s,2,1,0.5,1000,4000,0.25,false
47,10:22:46.324,test,pistol,0s,1,1,1,1000,2000,0.5,false
48,10:22:47.005,test,pistol,0s,1,1,1,1000,2000,0.5,false
49,10:22:48.115,test,pistol,0.389s,2,1,0.5,1000,4000,0.25,false
50,10:22:48.747,test,pistol,0s,1,1,1,1000,2000,0.5,false
51,10:22:52.247,test,pistol,2.791s,5,1,0.2,1000,10000,0.1,false
52,10:22:53.012,test,pistol,0s,1,1,1,1000,2000,0.5,false
53,10:22:54.255,test,pistol,0s,1,1,1,1000,2000,0.5,false
54,10:22:57.352,test,pistol,2.347s,4,1,0.25,1000,8000,0.125,false
55,10:22:58.366,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
56,10:23:00.192,test,pistol,0.604s,2,1,0.5,1000,4000,0.25,false
57,10:23:00.671,test,pistol,0s,1,1,1,1000,2000,0.5,false
58,10:23:03.116,test,pistol,1.312s,3,1,0.333,1000,6000,0.167,false
59,10:23:04.053,test,pistol,0s,1,1,1,1000,2000,0.5,false
60,10:23:05.414,test,pistol,0.59s,2,1,0.5,1000,4000,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,122,60,60000.0,244000.0,
Track Master 100,0,0,0.0,0.0,

Kills:,60
Deaths:,0
Fight Time:,38.473999
Avg TTK:,1.429
Damage Done:,60000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,29.508198
Scenario:,1wall5targets_pasu
Hash:,a5be19c6e6aeb0d774c5e9d9fb497e91
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
