Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:32:32.827,Pigeon,pistol,0.423s,2,1,0.5,50,250,0.2,false
2,15:32:35.696,Pigeon,pistol,1.736s,4,1,0.25,50,500,0.1,false
3,15:32:37.050,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
4,15:32:38.460,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
5,15:32:39.863,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,15:32:40.516,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,15:32:41.419,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,15:32:42.134,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,15:32:44.142,Pigeon,pistol,1.313s,3,1,0.333,50,375,0.133,false
10,15:32:45.551,Pigeon,pistol,1.028s,2,1,0.5,50,250,0.2,false
11,15:32:46.489,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
12,15:32:48.502,Pigeon,pistol,1.305s,2,1,0.5,50,250,0.2,false
13,15:32:49.419,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,15:32:50.218,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
15,15:32:50.975,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,15:32:52.947,Pigeon,pistol,1.041s,2,1,0.5,50,250,0.2,false
17,15:32:54.058,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,15:32:55.108,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,15:32:56.720,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,15:32:57.121,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,15:32:59.678,Pigeon,pistol,1.501s,2,1,0.5,50,250,0.2,false
22,15:33:02.191,Pigeon,pistol,1.5s,3,1,0.333,50,375,0.133,false
23,15:33:05.046,Pigeon,pistol,1.437s,3,1,0.333,50,375,0.133,false
24,15:33:06.351,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,15:33:09.421,Pigeon,pistol,2.383s,3,1,0.333,50,375,0.133,false
26,15:33:09.887,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
27,15:33:10.637,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,15:33:11.213,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
29,15:33:12.206,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
30,15:33:13.421,Pigeon,pistol,0.298s,2,1,0.5,50,250,0.2,false
31,15:33:14.338,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,15:33:15.804,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
33,15:33:17.151,Pigeon,pistol,0.514s,2,1,0.5,50,250,0.2,false
34,15:33:17.873,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,15:33:18.463,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
36,15:33:19.227,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
37,15:33:23.145,Pigeon,pistol,3.299s,5,1,0.2,50,625,0.08,false
38,15:33:23.874,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
39,15:33:25.721,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
40,15:33:26.436,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,15:33:27.346,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,15:33:29.499,Pigeon,pistol,1.535s,3,1,0.333,50,375,0.133,false
43,15:33:30.124,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,15:33:32.008,Pigeon,pistol,0.856s,2,1,0.5,50,250,0.2,false
45,15:33:33.626,Pigeon,pistol,0.334s,2,1,0.5,50,250,0.2,false
46,15:33:34.799,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,15:33:35.196,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
48,15:33:35.863,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
49,15:33:36.723,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
50,15:33:37.397,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
51,15:33:38.696,Pigeon,pistol,0.91s,2,1,0.5,50,250,0.2,false
52,15:33:40.051,Pigeon,pistol,0.341s,2,1,0.5,50,250,0.2,false
53,15:33:41.224,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,81,53,2650.0,10125.0,

Kills:,53
Deaths:,0
Fight Time:,21.756001
Avg TTK:,1.332
Damage Done:,2650.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,34.679012
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
