Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:18:19.592,Regenerating Pokeball,Poke-Drill,1.841s,24,7,0.292,1.4,4.8,0.292,false
2,10:18:20.376,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
3,10:18:21.154,Regenerating Pokeball,Poke-Drill,0.076s,9,9,1,1.8,1.8,1,false
4,10:18:23.155,Regenerating Pokeball,Poke-Drill,1.319s,15,15,1,3,3,1,false
5,10:18:24.849,Regenerating Pokeball,Poke-Drill,0.784s,15,15,1,3,3,1,false
6,10:18:27.571,Regenerating Pokeball,Poke-Drill,2.077s,21,21,1,4.2,4.2,1,false
7,10:18:30.933,Regenerating Pokeball,Poke-Drill,1.438s,23,23,1,4.6,4.6,1,false
8,10:18:32.287,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
9,10:18:34.566,Regenerating Pokeball,Poke-Drill,1.196s,28,15,0.536,3,5.6,0.536,false
10,10:18:35.586,Regenerating Pokeball,Poke-Drill,0.055s,7,7,1,1.4,1.4,1,false
11,10:18:36.614,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
12,10:18:37.365,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
13,10:18:38.149,Regenerating Pokeball,Poke-Drill,0.076s,9,9,1,1.8,1.8,1,false
14,10:18:40.260,Regenerating Pokeball,Poke-Drill,1.389s,23,14,0.609,2.8,4.6,0.609,false
15,10:18:43.177,Regenerating Pokeball,Poke-Drill,1.98s,23,23,1,4.6,4.6,1,false
16,10:18:44.545,Regenerating Pokeball,Poke-Drill,0.597s,18,18,1,3.6,3.6,1,false
17,10:18:45.608,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
18,10:18:46.434,Regenerating Pokeball,Poke-Drill,0.097s,11,11,1,2.2,2.2,1,false
19,10:18:48.468,Regenerating Pokeball,Poke-Drill,1.292s,27,17,0.63,3.4,5.4,0.63,false
20,10:18:49.198,Regenerating Pokeball,Poke-Drill,0.05s,6,6,1,1.2,1.2,1,false
