Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:43:40.762,target_decay,pistol,0.556s,2,1,0.5,25,100,0.25,false
2,15:43:54.041,target_decay,pistol,12.543s,14,1,0.071,25,700,0.036,false
3,15:43:59.242,target_decay,pistol,4.493s,6,1,0.167,25,300,0.083,false
4,15:44:00.846,target_decay,pistol,0.798s,2,1,0.5,25,100,0.25,false
5,15:44:02.388,target_decay,pistol,0.847s,2,1,0.5,25,100,0.25,false
6,15:44:03.132,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,15:44:06.507,target_decay,pistol,2.708s,4,1,0.25,25,200,0.125,false
8,15:44:09.007,target_decay,pistol,1.784s,3,1,0.333,25,150,0.167,false
9,15:44:10.569,target_decay,pistol,0.833s,2,1,0.5,25,100,0.25,false
10,15:44:15.743,target_decay,pistol,4.424s,6,1,0.167,25,300,0.083,false
11,15:44:16.597,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,15:44:17.277,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,15:44:18.048,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,15:44:23.243,target_decay,pistol,4.472s,6,1,0.167,25,300,0.083,false
15,15:44:25.771,target_decay,pistol,1.765s,3,1,0.333,25,150,0.167,false
16,15:44:32.778,target_decay,pistol,6.32s,8,1,0.125,25,400,0.062,false
17,15:44:33.522,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,15:44:35.104,target_decay,pistol,0.812s,2,1,0.5,25,100,0.25,false
19,15:44:39.383,target_decay,pistol,3.543s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,19,475.0,3500.0,

Kills:,19
Deaths:,0
Fight Time:,45.898998
Avg TTK:,3.158
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,515.714294
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
