Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:49:15.787,target_decay,pistol,7.153s,9,1,0.111,25,450,0.056,false
2,09:49:19.162,target_decay,pistol,2.632s,4,1,0.25,25,200,0.125,false
3,09:49:21.669,target_decay,pistol,1.757s,3,1,0.333,25,150,0.167,false
4,09:49:22.440,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,09:49:24.066,target_decay,pistol,0.862s,2,1,0.5,25,100,0.25,false
6,09:49:24.815,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,09:49:26.427,target_decay,pistol,0.855s,2,1,0.5,25,100,0.25,false
8,09:49:35.197,target_decay,pistol,8.041s,10,1,0.1,25,500,0.05,false
9,09:49:36.857,target_decay,pistol,0.931s,2,1,0.5,25,100,0.25,false
10,09:49:42.961,target_decay,pistol,5.388s,7,1,0.143,25,350,0.071,false
11,09:49:44.531,target_decay,pistol,0.798s,2,1,0.5,25,100,0.25,false
12,09:49:48.851,target_decay,pistol,3.57s,5,1,0.2,25,250,0.1,false
13,09:49:52.226,target_decay,pistol,2.632s,4,1,0.25,25,200,0.125,false
14,09:49:54.705,target_decay,pistol,1.771s,3,1,0.333,25,150,0.167,false
15,09:49:55.441,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,09:49:58.809,target_decay,pistol,2.646s,4,1,0.25,25,200,0.125,false
17,09:50:00.484,target_decay,pistol,0.953s,2,1,0.5,25,100,0.25,false
18,09:50:01.171,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,09:50:02.795,target_decay,pistol,0.909s,2,1,0.5,25,100,0.25,false
20,09:50:05.282,target_decay,pistol,1.778s,3,1,0.333,25,150,0.167,false
21,09:50:06.018,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,71,21,525.0,3550.0,

Kills:,21
Deaths:,0
Fight Time:,42.675999
Avg TTK:,2.857
Damage Done:,525.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,621.12677
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
