Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:50:25.152,target_decay,pistol,2.647s,4,1,0.25,25,200,0.125,false
2,09:50:25.868,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
3,09:50:32.853,target_decay,pistol,6.222s,8,1,0.125,25,400,0.062,false
4,09:50:33.589,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,09:50:34.318,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,09:50:35.173,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,09:50:36.854,target_decay,pistol,0.966s,2,1,0.5,25,100,0.25,false
8,09:50:39.347,target_decay,pistol,1.716s,3,1,0.333,25,150,0.167,false
9,09:50:42.708,target_decay,pistol,2.632s,4,1,0.25,25,200,0.125,false
10,09:50:46.083,target_decay,pistol,2.597s,4,1,0.25,25,200,0.125,false
11,09:50:49.437,target_decay,pistol,2.646s,4,1,0.25,25,200,0.125,false
12,09:50:50.986,target_decay,pistol,0.778s,2,1,0.5,25,100,0.25,false
13,09:50:53.493,target_decay,pistol,1.749s,3,1,0.333,25,150,0.167,false
14,09:50:55.951,target_decay,pistol,1.736s,3,1,0.333,25,150,0.167,false
15,09:50:58.417,target_decay,pistol,1.57s,3,1,0.333,25,150,0.167,false
16,09:51:09.008,target_decay,pistol,9.841s,12,1,0.083,25,600,0.042,false
17,09:51:09.687,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,09:51:10.396,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,09:51:14.709,target_decay,pistol,3.583s,5,1,0.2,25,250,0.1,false
20,09:51:21.695,target_decay,pistol,6.229s,8,1,0.125,25,400,0.062,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,71,20,500.0,3550.0,

Kills:,20
Deaths:,0
Fight Time:,44.912998
Avg TTK:,3
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,563.38031
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
