Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,11:46:18.889,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,11:46:23.154,target_decay,pistol,3.515s,5,1,0.2,25,250,0.1,false
3,11:46:23.925,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,11:46:29.126,target_decay,pistol,4.493s,6,1,0.167,25,300,0.083,false
5,11:46:34.265,target_decay,pistol,4.382s,6,1,0.167,25,300,0.083,false
6,11:46:36.752,target_decay,pistol,1.758s,3,1,0.333,25,150,0.167,false
7,11:46:38.377,target_decay,pistol,0.875s,2,1,0.5,25,100,0.25,false
8,11:46:47.141,target_decay,pistol,8.029s,10,1,0.1,25,500,0.05,false
9,11:46:51.433,target_decay,pistol,3.536s,5,1,0.2,25,250,0.1,false
10,11:46:52.127,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,11:46:56.398,target_decay,pistol,3.57s,5,1,0.2,25,250,0.1,false
12,11:46:57.175,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,11:46:59.663,target_decay,pistol,1.793s,3,1,0.333,25,150,0.167,false
14,11:47:00.350,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,11:47:02.858,target_decay,pistol,1.751s,3,1,0.333,25,150,0.167,false
16,11:47:04.426,target_decay,pistol,0.868s,2,1,0.5,25,100,0.25,false
17,11:47:08.690,target_decay,pistol,3.479s,5,1,0.2,25,250,0.1,false
18,11:47:11.231,target_decay,pistol,1.812s,3,1,0.333,25,150,0.167,false
19,11:47:17.343,target_decay,pistol,5.374s,7,1,0.143,25,350,0.071,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,71,19,475.0,3550.0,

Kills:,19
Deaths:,0
Fight Time:,45.235001
Avg TTK:,3.158
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,508.450714
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
