Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,11:47:48.857,target_decay,pistol,1.653s,3,1,0.333,25,150,0.167,false
2,11:47:51.357,target_decay,pistol,1.702s,3,1,0.333,25,150,0.167,false
3,11:47:54.761,target_decay,pistol,2.661s,4,1,0.25,25,200,0.125,false
4,11:48:00.899,target_decay,pistol,5.395s,6,1,0.167,25,300,0.083,false
5,11:48:09.649,target_decay,pistol,8.063s,10,1,0.1,25,500,0.05,false
6,11:48:10.344,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,11:48:11.073,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,11:48:12.692,target_decay,pistol,0.918s,2,1,0.5,25,100,0.25,false
9,11:48:17.838,target_decay,pistol,4.452s,6,1,0.167,25,300,0.083,false
10,11:48:18.581,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,11:48:20.185,target_decay,pistol,0.883s,2,1,0.5,25,100,0.25,false
12,11:48:27.234,target_decay,pistol,6.292s,8,1,0.125,25,400,0.062,false
13,11:48:30.616,target_decay,pistol,2.653s,4,1,0.25,25,200,0.125,false
14,11:48:32.164,target_decay,pistol,0.812s,2,1,0.5,25,100,0.25,false
15,11:48:35.602,target_decay,pistol,2.674s,4,1,0.25,25,200,0.125,false
16,11:48:38.046,target_decay,pistol,1.722s,3,1,0.333,25,150,0.167,false
17,11:48:38.797,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,11:48:44.915,target_decay,pistol,5.409s,7,1,0.143,25,350,0.071,false
19,11:48:45.589,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,19,475.0,3500.0,

Kills:,19
Deaths:,0
Fight Time:,45.289001
Avg TTK:,3.158
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,515.714294
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
