Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:04:30.529,target_decay,pistol,6.229s,7,1,0.143,25,350,0.071,false
2,12:04:32.974,target_decay,pistol,1.667s,3,1,0.333,25,150,0.167,false
3,12:04:37.280,target_decay,pistol,3.549s,5,1,0.2,25,250,0.1,false
4,12:04:38.828,target_decay,pistol,0.798s,2,1,0.5,25,100,0.25,false
5,12:04:39.523,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,12:04:46.517,target_decay,pistol,6.285s,8,1,0.125,25,400,0.062,false
7,12:04:49.024,target_decay,pistol,1.792s,3,1,0.333,25,150,0.167,false
8,12:04:54.239,target_decay,pistol,4.479s,6,1,0.167,25,300,0.083,false
9,12:04:54.941,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,12:05:07.357,target_decay,pistol,11.722s,14,1,0.071,25,700,0.036,false
11,12:05:11.641,target_decay,pistol,3.541s,5,1,0.2,25,250,0.1,false
12,12:05:12.364,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
13,12:05:14.836,target_decay,pistol,1.764s,3,1,0.333,25,150,0.167,false
14,12:05:15.516,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,12:05:17.100,target_decay,pistol,0.875s,2,1,0.5,25,100,0.25,false
16,12:05:20.503,target_decay,pistol,2.66s,4,1,0.25,25,200,0.125,false
17,12:05:21.295,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
18,12:05:22.030,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,12:05:23.629,target_decay,pistol,0.674s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,19,475.0,3500.0,

Kills:,19
Deaths:,0
Fight Time:,46.036999
Avg TTK:,3.158
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,515.714294
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
