Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:05:32.165,target_decay,pistol,2.729s,4,1,0.25,25,200,0.125,false
2,12:05:33.776,target_decay,pistol,0.875s,2,1,0.5,25,100,0.25,false
3,12:05:34.492,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,12:05:35.179,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,12:05:35.901,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,12:05:39.256,target_decay,pistol,2.626s,4,1,0.25,25,200,0.125,false
7,12:05:43.540,target_decay,pistol,3.541s,5,1,0.2,25,250,0.1,false
8,12:05:44.277,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,12:05:54.014,target_decay,pistol,8.981s,9,1,0.111,25,450,0.056,false
10,12:05:56.548,target_decay,pistol,1.791s,3,1,0.333,25,150,0.167,false
11,12:05:59.917,target_decay,pistol,2.626s,4,1,0.25,25,200,0.125,false
12,12:06:02.395,target_decay,pistol,1.77s,3,1,0.333,25,150,0.167,false
13,12:06:03.994,target_decay,pistol,0.861s,2,1,0.5,25,100,0.25,false
14,12:06:11.000,target_decay,pistol,5.326s,7,1,0.143,25,350,0.071,false
15,12:06:11.716,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,12:06:13.271,target_decay,pistol,0.847s,2,1,0.5,25,100,0.25,false
17,12:06:17.599,target_decay,pistol,3.599s,5,1,0.2,25,250,0.1,false
18,12:06:19.174,target_decay,pistol,0.847s,2,1,0.5,25,100,0.25,false
19,12:06:28.910,target_decay,pistol,8.799s,11,1,0.091,25,550,0.045,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,19,475.0,3400.0,

Kills:,19
Deaths:,0
Fight Time:,45.217999
Avg TTK:,3.158
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,530.882324
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
