Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:17:48.729,target_decay,pistol,3.515s,5,1,0.2,25,250,0.1,false
2,15:17:49.423,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,15:18:07.229,target_decay,pistol,17.097s,20,1,0.05,25,1000,0.025,false
4,15:18:11.472,target_decay,pistol,3.52s,5,1,0.2,25,250,0.1,false
5,15:18:16.618,target_decay,pistol,4.451s,6,1,0.167,25,300,0.083,false
6,15:18:17.347,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,15:18:19.827,target_decay,pistol,1.758s,3,1,0.333,25,150,0.167,false
8,15:18:23.188,target_decay,pistol,2.646s,4,1,0.25,25,200,0.125,false
9,15:18:25.667,target_decay,pistol,1.764s,3,1,0.333,25,150,0.167,false
10,15:18:27.257,target_decay,pistol,0.854s,2,1,0.5,25,100,0.25,false
11,15:18:37.848,target_decay,pistol,9.889s,12,1,0.083,25,600,0.042,false
12,15:18:39.473,target_decay,pistol,0.91s,2,1,0.5,25,100,0.25,false
13,15:18:42.827,target_decay,pistol,2.625s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,13,325.0,3500.0,

Kills:,13
Deaths:,0
Fight Time:,49.028999
Avg TTK:,4.615
Damage Done:,325.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,241.428574
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
