Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:18:52.620,target_decay,pistol,1.701s,3,1,0.333,25,150,0.167,false
2,15:18:57.760,target_decay,pistol,4.382s,6,1,0.167,25,300,0.083,false
3,15:18:58.497,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,15:19:00.962,target_decay,pistol,1.743s,3,1,0.333,25,150,0.167,false
5,15:19:02.538,target_decay,pistol,0.84s,2,1,0.5,25,100,0.25,false
6,15:19:09.496,target_decay,pistol,6.222s,8,1,0.125,25,400,0.062,false
7,15:19:10.219,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
8,15:19:10.893,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,15:19:15.136,target_decay,pistol,3.542s,5,1,0.2,25,250,0.1,false
10,15:19:18.448,target_decay,pistol,2.597s,4,1,0.25,25,200,0.125,false
11,15:19:20.011,target_decay,pistol,0.834s,2,1,0.5,25,100,0.25,false
12,15:19:20.719,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,15:19:22.254,target_decay,pistol,0.833s,2,1,0.5,25,100,0.25,false
14,15:19:26.553,target_decay,pistol,3.591s,5,1,0.2,25,250,0.1,false
15,15:19:27.248,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,15:19:29.727,target_decay,pistol,1.791s,3,1,0.333,25,150,0.167,false
17,15:19:30.498,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,15:19:32.964,target_decay,pistol,1.786s,3,1,0.333,25,150,0.167,false
19,15:19:36.317,target_decay,pistol,2.631s,4,1,0.25,25,200,0.125,false
20,15:19:37.925,target_decay,pistol,0.871s,2,1,0.5,25,100,0.25,false
21,15:19:39.513,target_decay,pistol,0.868s,2,1,0.5,25,100,0.25,false
22,15:19:45.604,target_decay,pistol,5.389s,7,1,0.143,25,350,0.071,false
23,15:19:46.367,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,72,23,575.0,3600.0,

Kills:,23
Deaths:,0
Fight Time:,39.623001
Avg TTK:,2.609
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,734.722229
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
