Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:42:31.950,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,15:42:32.624,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,15:42:37.807,target_decay,pistol,4.504s,6,1,0.167,25,300,0.083,false
4,15:42:42.119,target_decay,pistol,3.594s,5,1,0.2,25,250,0.1,false
5,15:42:42.817,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
6,15:42:43.499,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,15:42:48.703,target_decay,pistol,4.476s,6,1,0.167,25,300,0.083,false
8,15:42:55.649,target_decay,pistol,6.232s,8,1,0.125,25,400,0.062,false
9,15:42:56.342,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,15:42:57.016,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
11,15:42:57.659,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,15:43:00.065,target_decay,pistol,1.693s,3,1,0.333,25,150,0.167,false
13,15:43:01.612,target_decay,pistol,0.859s,2,1,0.5,25,100,0.25,false
14,15:43:04.984,target_decay,pistol,2.644s,4,1,0.25,25,200,0.125,false
15,15:43:07.528,target_decay,pistol,1.831s,3,1,0.333,25,150,0.167,false
16,15:43:10.069,target_decay,pistol,1.821s,3,1,0.333,25,150,0.167,false
17,15:43:12.558,target_decay,pistol,1.742s,3,1,0.333,25,150,0.167,false
18,15:43:15.919,target_decay,pistol,2.663s,4,1,0.25,25,200,0.125,false
19,15:43:23.013,target_decay,pistol,6.4s,8,1,0.125,25,400,0.062,false
20,15:43:36.226,target_decay,pistol,12.446s,2,1,0.5,25,100,0.25,false
21,15:43:40.646,target_decay,pistol,3.684s,5,1,0.2,25,250,0.1,false
22,15:43:41.340,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,15:43:42.063,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,72,23,575.0,3600.0,

Kills:,23
Deaths:,0
Fight Time:,54.591
Avg TTK:,2.609
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,734.722229
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.6
Vert Sens:,0.6
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
