Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,06:16:15.029,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
2,06:16:15.244,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
3,06:16:15.495,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
4,06:16:16.780,Shinji small Bot,pistol,0.59s,2,1,0.5,2000,4000,0.5,false
5,06:16:17.328,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
6,06:16:18.085,Shinji small Bot,pistol,0.361s,2,1,0.5,2000,4000,0.5,false
7,06:16:18.703,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
8,06:16:19.120,Shinji small Bot,pistol,0.001s,1,1,1,2000,2000,1,false
9,06:16:19.606,Shinji small Bot,pistol,0.001s,1,1,1,2000,2000,1,false
10,06:16:20.265,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
11,06:16:21.468,Shinji small Bot,pistol,0.354s,2,1,0.5,2000,4000,0.5,false
12,06:16:22.071,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
13,06:16:22.467,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
14,06:16:23.023,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
15,06:16:23.682,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
16,06:16:24.029,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
17,06:16:24.509,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
18,06:16:25.142,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
19,06:16:25.718,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
20,06:16:26.363,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
21,06:16:26.865,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
22,06:16:27.934,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
23,06:16:28.385,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
